topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,LLM_outsourcing_overridden,human_outsourcing_overridden,ai_orch_agreement,human_orch_agreement,self_orch_agreement,recommendation,recommendation_lists,incorrect_answers_by_category
elementary_mathematics,C,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""11/13""],""high_school_mathematics"":[""32/57"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,C,C,C,C,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""12/14""],""high_school_mathematics"":[""32/57"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,C,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""13/15""],""high_school_mathematics"":[""32/57"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,D,D,D,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""13/15""],""high_school_mathematics"":[""33/58"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/57"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,D,B,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""13/15""],""high_school_mathematics"":[""33/58"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/58"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,D,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""14/16""],""high_school_mathematics"":[""33/58"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/58"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,A,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""15/17""],""high_school_mathematics"":[""33/58"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""30/58"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,A,C,A,A,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""15/17""],""high_school_mathematics"":[""33/58"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/59"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,B,B,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""15/17""],""high_school_mathematics"":[""34/59"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/59"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,A,A,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""15/17""],""high_school_mathematics"":[""35/60"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/59"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,C,A,A,A,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""16/18""],""high_school_mathematics"":[""35/60"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/59"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,C,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/19""],""high_school_mathematics"":[""35/60"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/59"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,C,D,C,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/19""],""high_school_mathematics"":[""35/60"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/60"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,C,B,C,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/19""],""high_school_mathematics"":[""35/60"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,C,A,A,A,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/19""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,B,D,B,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""22/50"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true,""college_mathematics"":false}"
college_mathematics,C,D,D,D,False,True,,False,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""23/51"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true,""college_mathematics"":false}"
college_mathematics,B,D,D,D,False,True,,False,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""24/52"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true,""college_mathematics"":false}"
college_mathematics,A,C,C,D,False,True,,False,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""42/52"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""24/53"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":true,""college_mathematics"":false}"
elementary_mathematics,A,C,C,C,False,True,,False,,True,,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""24/53"",""31/61"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,C,B,C,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""24/53"",""31/62"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,D,A,A,A,False,True,,False,False,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""17/20""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""31/62"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,B,B,B,B,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""43/53"",""31/50"",""18/21""],""high_school_mathematics"":[""36/61"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""31/62"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,B,B,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""18/21""],""high_school_mathematics"":[""37/62"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""31/62"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,D,D,D,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""18/21""],""high_school_mathematics"":[""37/62"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""32/63"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,C,C,C,C,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""18/21""],""high_school_mathematics"":[""38/63"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""32/63"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,B,B,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""18/21""],""high_school_mathematics"":[""38/63"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""33/64"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,D,D,D,D,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""18/21""],""high_school_mathematics"":[""39/64"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""33/64"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
elementary_mathematics,D,D,D,D,False,False,,,,,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[""43/53"",""31/50"",""19/22""],""high_school_mathematics"":[""39/64"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""33/64"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,C,D,D,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""19/22""],""high_school_mathematics"":[""39/65"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""33/64"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,C,C,C,D,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""19/22""],""high_school_mathematics"":[""39/65"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""33/65"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,B,C,C,C,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""19/22""],""high_school_mathematics"":[""40/66"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""33/65"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
college_mathematics,B,B,B,B,True,False,False,,True,,,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""19/22""],""high_school_mathematics"":[""40/66"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""34/66"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
high_school_mathematics,D,B,B,B,False,True,,False,,True,,You should outsource this problem to a human agent,"{""elementary_mathematics"":[""43/53"",""31/50"",""19/22""],""high_school_mathematics"":[""41/67"",""23/52"",""3/6""],""college_mathematics"":[""25/54"",""34/66"",""2 / 5""]}","{""high_school_mathematics"":false,""elementary_mathematics"":false,""college_mathematics"":false}"
