topic,llm_answer,population_answer,response,label,llm_support_used,human_support_used,recommendation,recommendation_lists
elementary_mathematics,B,B,B,B,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/14""],""high_school_mathematics"":[0.545,0.44,""6/11""],""college_mathematics"":[0.435,0.51,""3/6""]}"
high_school_mathematics,D,D,D,D,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/14""],""high_school_mathematics"":[0.545,0.44,""6/11""],""college_mathematics"":[0.435,0.51,""3/6""]}"
high_school_mathematics,C,D,A,C,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""10/14""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
high_school_mathematics,B,B,B,C,False,True,You were wrong by yourself on high_school_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/14""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
elementary_mathematics,B,C,D,C,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
college_mathematics,B,B,B,B,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
college_mathematics,B,C,B,A,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
college_mathematics,D,C,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
college_mathematics,D,C,D,D,True,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
high_school_mathematics,A,B,B,A,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""3/6""]}"
college_mathematics,D,B,D,D,False,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
high_school_mathematics,C,D,D,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
elementary_mathematics,D,C,C,D,False,True,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""10/15""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
elementary_mathematics,B,B,B,B,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""11/16""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
college_mathematics,C,C,C,C,False,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""11/16""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
high_school_mathematics,B,C,C,B,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""11/16""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
college_mathematics,B,B,B,B,True,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""11/16""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
college_mathematics,B,B,B,A,False,True,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""11/16""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
elementary_mathematics,A,C,A,A,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""12/17""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
elementary_mathematics,A,A,D,A,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""12/18""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
high_school_mathematics,C,A,A,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""12/18""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
elementary_mathematics,B,D,D,D,False,True,You were wrong by yourself on elementary_mathematics last time. You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""12/18""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/7""]}"
college_mathematics,D,B,C,D,False,False,You should attempt this problem by yourself,"{""elementary_mathematics"":[0.7975,0.62,""12/18""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/8""]}"
elementary_mathematics,B,B,B,B,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""13/19""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/8""]}"
high_school_mathematics,D,B,B,D,False,True,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""13/19""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/8""]}"
elementary_mathematics,A,A,B,D,False,False,You should outsource this problem to a human agent,"{""elementary_mathematics"":[0.7975,0.62,""13/20""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/8""]}"
college_mathematics,C,C,C,A,True,False,You were wrong by yourself on college_mathematics last time. You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""13/20""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""4/8""]}"
college_mathematics,B,C,B,B,False,False,You should outsource this problem to the AI agent,"{""elementary_mathematics"":[0.7975,0.62,""13/20""],""high_school_mathematics"":[0.545,0.44,""6/12""],""college_mathematics"":[0.435,0.51,""5/9""]}"
